user_id,movie_id,rating,days_ago
Sally,1,7,420
Sally,2,6,250
Sally,3,3,120
Sally,4,7,20
Sally,5,6,14
Bob,1,7,360
Bob,2,4,270
Bob,3,4,160
Bob,4,6,30
Bob,5,7,6
Chris,1,3,330
Chris,2,7,210
Chris,3,7,90
Chris,4,2,35
Chris,6,5,22
Lynn,1,4,300
Lynn,2,4,180
Lynn,3,6,70
Lynn,4,2,12
Lynn,6,6,10
Karen,1,7,280
Karen,2,4,150
Karen,3,3,65
Karen,5,6,8
Alice,5,5,40
Alice,9,5,12
Alice,1,4,180
Alice,4,4,21
Nina,6,5,30
Nina,10,5,7
Nina,2,4,110
Nina,7,2,260
Omar,7,5,15
Omar,8,5,6
Omar,2,3,140
Omar,10,2,90
